Type,Immediate_vs_Future,Segment,Package_Type,Mega_Flavor,Seasonality,q2_2018,q3_2018,q4_2018,q1_2019,sales
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,113991,126464,100085,129214,578209
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,2105,7298,10450,15245,531600
AO CHEWY,FUTURE,CLASSIC FAVORITES,STANDUP BAG,ALL OTHER,EVERYDAY,128117,127060,107613,120669,537242
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,44,6,344633,11310,322537
ASSORTMENT MIXES,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,177304,201709,164424,159733,613887
AO CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,CARAMEL,EVERYDAY,167305,161179,149954,163807,704426
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,FRUIT,EVERYDAY,181565,177543,154041,164018,646438
FRUITY CHEWY,IMMEDIATE,NOT APPLICABLE,SHARE SIZE,FRUIT,SEASONAL,126283,144848,145909,149083,604414
JELLY BEANS,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ASSORTED,EVERYDAY,64607,64820,69005,68375,296036
JELLY BEANS,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,157948,146027,150330,166992,706952
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,SOUR,EVERYDAY,181515,147787,125015,227950,784901
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,155982,172722,164023,194488,713585
AO CHEWY,FUTURE,NOT APPLICABLE,BOX,SOUR,SEASONAL,22867,54078,351367,18670,172195
CANDY CORN,FUTURE,NOT APPLICABLE,PEG BAG,ALL OTHER,SEASONAL,7520,53022,158346,6969,208477
LOLLIPOP,FUTURE,NOT APPLICABLE,LAYDOWN BAG,FRUIT,SEASONAL,207699,194557,179579,217086,741064
